Gene	a.0	a.2	a.8	a.16	b.0	b.2	b.8	b.16
Gene5067	358430.7046	288098.8251	286504.7348	256550.3237	328505.9295	300647.7064	294774.6074	304344.1477
Gene12507	272046.0041	302849.9769	278797.4133	283514.6877	325971.0297	317904.9905	308991.7971	325012.4034
Gene1995	239852.9164	296270.1463	392479.125	298974.9981	235622.9178	272436.094	365690.5283	311717.7464
Gene12218	293183.2508	280477.6661	269968.3514	312473.2699	325073.0318	291650.449	290331.8465	347304.1041
Gene9644	208631.2526	333668.5558	432820.2817	294064.5097	212386.3108	174230.0557	412267.3151	305557.7453
Gene12509	317467.7179	286351.0985	298201.9131	268164.6827	324143.3377	317143.9954	293146.6212	267312.7381
Gene1421	224080.7639	238913.2259	271650.2449	450097.9846	226132.8143	220199.7723	273508.6047	450177.8768
Gene3160	388813.0893	304545.2389	263871.915	182412.2744	409303.5213	313266.4211	285891.2194	178736.6035
Gene11625	298739.9428	305565.494	278935.7711	270534.2077	306627.5705	285546.039	290742.8165	281850.8238
Gene11913	307869.3791	312286.3466	267114.76	260623.6509	323593.2353	307344.8867	280603.4307	256303.2899
Gene4661	301821.8888	311300.153	286380.1564	268092.2799	268020.3281	291525.2254	289090.8106	293436.1678
Gene7358	276980.3049	114888.6693	262508.5584	393032.0474	269039.1725	339322.7994	268625.2308	380180.7702
Gene11023	359580.2896	249641.6689	239839.5475	248091.3798	356942.3698	326609.6746	258100.003	262005.3961
Gene10786	270985.9785	315405.4823	294907.9896	258410.696	267985.9287	302939.7732	301623.5156	280074.5915
Gene7411	327782.2297	278967.5004	240938.0199	248989.377	332691.8725	352973.9156	253485.6797	244243.9583
Gene11995	299419.2083	366662.8058	273048.3324	251448.684	286034.3742	244203.4433	272625.3034	257546.85
Gene12639	342491.7569	90588.64018	145408.9375	405463.5119	302126.1655	382787.0939	161458.857	407788.0161
Gene3143	372073.1897	267908.1343	308087.0276	181642.5541	304340.9968	285271.3482	286548.2499	204145.9946
Gene7405	237661.7289	255012.5574	295831.3129	331437.5699	238974.3227	240620.6772	281015.5425	329215.7336
Gene12745	252697.7	196085.8103	356632.02	214330.9681	254396.5091	374180.0354	338862.6614	220392.8491
Gene1668	235632.5539	216365.1033	296955.0367	333272.6253	232952.198	232430.6016	294901.6463	353944.3206
Gene9494	291050.259	388483.0733	274461.5245	215278.7029	152985.5931	343839.7723	305480.3651	223199.365
Gene9520	317751.5803	274615.2082	342505.0828	177787.3036	296431.6451	260333.2486	361304.7137	162661.5798
Gene409	182517.3099	407522.0983	330909.6738	194411.9444	171565.0542	355469.0523	334140.982	209802.8509
Gene8703	339897.7806	318879.6868	254113.2942	195688.5153	257305.1086	309798.2934	278146.3811	223123.2066
Gene1792	76392.98265	47199.37047	387878.3952	531152.8446	55645.11404	39579.98668	476114.7328	550833.3944
Gene8685	349004.0949	363210.5196	276449.2778	165412.8729	212532.0713	317326.5744	292759.153	174610.3694
Gene8963	209195.1172	276297.9797	283914.1248	269818.5558	220797.4908	316407.1332	271034.2077	272143.8704
Gene10973	302947.0264	262131.4947	279829.3952	240819.5162	277646.3161	237922.8255	290528.0037	225717.3721
Gene7646	287140.3139	295632.0214	259449.1694	209892.3145	295519.9444	301457.5583	257619.9197	210528.1081
Gene11978	248750.2826	258403.0665	266830.0427	272463.3438	243524.99	266860.7692	264643.924	294207.9478
Gene9640	304463.2485	264950.9899	248683.9562	233110.5199	306934.1247	284894.8884	242601.0033	224593.5257
Gene2038	190815.8753	234496.9169	347315.5233	287981.4689	186304.9332	217282.3287	356037.0429	282983.5376
Gene7502	265671.9821	375408.6181	275710.2844	207545.764	218784.8305	251346.839	277731.7801	226514.9944
Gene7144	266638.9806	281154.9144	257097.9194	249726.9186	274780.5572	266136.4489	256832.594	246272.3931
Gene11891	258438.7849	256259.9821	248917.5067	280188.1812	268672.1342	245701.6395	249813.3841	285235.7595
Gene2999	504193.9165	343741.3712	90487.83563	61775.4605	516818.025	388944.2625	130474.8074	55521.94571
Gene3800	339143.7265	370651.6441	253253.4588	146299.4052	332599.1928	244594.7854	258741.5765	146315.5146
Gene12799	275910.9228	311379.6684	250797.0742	220943.8894	268062.7126	262565.8615	253105.8109	238035.2296
Gene466	216539.4596	425965.0286	235863.6368	189748.2615	230684.0045	357790.3682	221182.0275	194054.4076
Gene11447	367741.8067	129510.6282	180010.3787	178320.7067	438092.9724	297798.0696	244306.6535	224972.5548
Gene5192	257177.7901	330818.8601	249317.2474	222699.3436	267241.8971	256171.5931	256968.4677	213217.7327
Gene2993	291382.265	302669.8338	233704.8014	193169.6277	277142.5685	306817.6315	251008.4478	193284.031
Gene7120	259484.9536	351801.4894	245087.5962	188212.6331	278456.0964	268087.1159	251536.1517	193703.4933
Gene13280	277734.5855	193241.127	263739.5559	263902.2269	270776.5813	246408.3233	279552.7179	239617.7404
Gene11687	395846.0466	416591.5663	180014.3747	160002.2612	203787.6523	274856.5975	231563.2606	170098.5638
Gene9815	243613.3767	274546.2927	233735.2167	261452.3679	262191.9884	235687.5032	251069.9171	264579.4064
Gene10721	209436.829	233693.217	245749.1992	291836.9192	216482.5552	266886.1216	256333.2509	299576.3708
Gene9922	245814.449	235972.0867	291539.6528	243964.5151	234724.4389	217835.3963	301932.3646	240202.5754
Gene3381	268187.4018	267019.2477	244199.8755	221158.529	278927.8015	265659.7582	244802.4489	217134.8828
Gene1889	258730.0967	162219.767	247246.8209	318685.0379	248306.0554	178743.9212	264007.609	320807.5328
Gene8209	247741.9598	262222.0988	249209.1298	220282.8305	220234.0062	310385.598	230780.2329	249086.9354
Gene1895	220846.9105	135475.3853	232161.1947	360670.5899	209252.4575	221566.4173	220856.4552	379069.9802
Gene3116	324876.9663	293718.2111	213936.4772	149704.3068	308234.0282	295744.8406	225345.4981	154721.5667
Gene2860	339202.9619	250962.0949	228380.0669	158269.3168	327266.1549	246303.1264	239991.7258	167197.0977
Gene11525	259643.9893	284408.1643	229653.9317	226776.8293	255279.3793	235920.1397	237438.2697	225054.5018
Gene7503	242653.0821	264504.3044	245130.3711	248509.676	234618.986	216671.3641	246182.4585	254786.601
Gene5218	256155.3391	289289.0086	253251.8546	207786.3213	237745.3295	233644.6672	249299.9893	224350.3656
Gene11880	284260.222	399137.0405	244472.6632	143344.2528	159358.0371	281907.8441	260322.0211	173610.5579
Gene2916	279474.3919	308868.5974	223081.0817	184826.6411	276502.7321	254770.9438	232646.2711	182300.53
Gene12726	281353.3642	174194.3033	242513.9331	147679.8069	289463.7265	394101.4859	265670.72	147215.7327
Gene8652	262894.2993	338746.3271	205411.1933	203523.6579	280214.1664	278382.16	206701.318	164414.7348
Gene9715	260040.0736	221370.4475	234245.8417	228577.3545	276296.6435	247383.7292	242447.3745	229320.5005
Gene6333	229100.9063	133910.7142	206953.6119	355993.4028	159816.4311	234900.1033	271893.5559	336091.789
Gene3708	260194.0643	178085.5239	225221.0367	242426.1047	284244.2271	251400.0571	237949.0546	239728.6857
Gene9785	245615.3472	238459.194	225363.4556	245655.2549	253628.0572	226952.1097	227352.3975	255918.7693
Gene8674	264158.5064	469936.326	232551.2359	128576.903	174310.7941	250218.4965	263221.742	131115.5274
Gene11943	238200.7323	281187.953	230561.9643	218536.4378	251363.4029	227880.5525	238883.3507	219036.2964
Gene13735	242005.6608	255040.6272	231812.2998	227715.119	246872.2015	234251.7489	231745.9398	232399.0183
Gene11889	245153.5721	268842.2288	237606.0491	202909.8867	233556.8561	236197.8486	240675.0362	229114.3803
Gene9049	223706.404	182755.6717	219423.9209	299441.0738	228252.1918	227116.1158	211755.0767	296903.0794
Gene757	175916.0321	536663.7919	195777.7026	113756.2996	165125.3561	368630.3802	196923.2298	111455.219
Gene4120	195104.7911	146542.8585	284644.7121	238098.323	202851.5057	291259.7122	258783.5848	243897.6136
Gene8848	264767.2377	265974.3576	229421.7485	194685.3895	251003.1255	241248.8744	228993.4805	181660.5605
Gene11899	264993.594	276391.3812	217757.6979	192026.331	215070.3414	237931.9045	230642.8592	211200.2592
Gene13333	189791.1403	225231.8446	221839.0286	275903.5709	208300.8497	223784.1093	229925.4316	270896.8179
Gene12088	237125.1901	88098.17193	211051.9488	296874.8219	234111.6009	243738.5742	207601.6549	320239.2707
Gene8516	198744.8724	197075.9249	231758.6067	245764.3999	227681.5693	238569.0195	232249.9629	264238.9273
Gene6830	239701.6199	170607.7894	223747.8164	251607.9312	236650.1903	221844.0963	222794.4753	255345.914
Gene13736	225641.4248	245462.3734	220259.4213	224080.5351	228164.6761	219339.1541	221725.9741	232843.6839
Gene8661	245970.205	167454.0715	205925.5401	247729.581	259751.8595	237107.6931	206715.7266	244524.8792
Gene1254	209502.1715	165169.5477	216083.1689	294143.2734	205533.0787	194902.2018	218619.4455	307556.5494
Gene9584	218247.0867	203640.1071	217794.0189	249673.2045	226199.1928	264325.7584	207583.5287	222127.87
Gene2444	348724.7032	132807.6219	174755.6807	220614.186	315475.5027	207971.7846	189711.7824	216803.2281
Gene3467	123182.6185	202996.356	289120.4363	417815.1946	169199.7818	79839.92146	118954.5774	403326.8591
Gene11594	222365.2213	251594.636	210435.2533	217966.8717	231070.7127	227204.7666	213821.4804	226039.2814
Gene11614	226322.4885	262411.4862	249216.8927	189606.5003	176425.1306	235508.6902	245650.5993	214835.1771
Gene12772	250198.7422	174745.564	228328.1022	237066.0215	245258.9582	190207.6106	230443.9572	240155.43
Gene3667	291853.787	246217.2099	218865.0033	141273.1851	234082.3025	267873.2289	223658.8552	172202.5593
Gene2530	313647.9552	204297.8137	165333.9149	226635.3642	285149.4606	197194.7409	185522.668	217888.2307
Gene7484	231637.8712	248991.783	225091.5445	210896.3783	236615.0785	213970.268	214781.3702	211333.8561
Gene11615	236019.3042	234983.9313	213854.587	208341.9802	243447.2031	218774.68	217000.3197	212893.8003
Gene5925	244880.9405	174505.1511	193211.445	276275.7814	235340.7433	211403.0403	208964.1047	240665.4862
Gene11419	183725.4103	263646.812	242811.015	222031.4235	179012.2387	212587.3479	242550.9507	238357.9438
Gene1097	139614.677	211060.1634	236905.3379	285410.7517	138969.9048	206247.13	221893.9582	326230.801
Gene2653	254429.5527	144483.3706	186288.2066	281116.1664	247931.2005	186324.2767	197804.8302	258992.093
Gene5458	244020.1764	224569.598	348412.7071	158470.7717	103848.2596	105449.1344	376443.9812	181929.6564
Gene4734	225127.1088	200281.6756	215250.8062	212928.7464	225473.2419	226052.5926	211838.3697	213422.7909
Gene2526	286959.8639	160175.481	206944.9284	157938.7165	301005.6311	213536.113	236587.4725	156175.4594
Gene1378	206131.7892	169473.9152	148694.5922	327647.0533	211396.1812	174311.9066	156109.4658	323643.5329
Gene1769	55249.38236	164091.2893	208021.1637	414322.4496	122779.8036	92001.45302	145064.8876	512648.0418
Gene3746	222880.7077	189583.4303	210520.8063	215273.02	235212.4065	211646.537	217685.1278	206083.5064
Gene8709	272273.4122	311013.0723	206142.6228	127700.0265	171926.715	248866.1669	224930.1274	145115.8945
Gene8849	228133.3576	251354.6156	214873.0642	182693.4907	228766.1096	215431.0107	209006.4058	172778.7973
Gene1245	177879.6259	138917.5104	214039.9388	333826.2389	140562.0654	143053.1624	219874.3969	332344.6469
Gene4345	236915.4674	158756.7133	224339.2976	196736.336	230472.0609	226719.9389	224968.2315	193267.9959
Gene3070	223572.2857	235062.86	212454.7391	155010.2021	230723.7743	257353.114	213614.3313	160457.916
Gene10564	196040.9705	132486.7993	278075.9873	239706.5458	193752.0307	147609.9816	267194.0574	231631.1115
Gene9863	214637.0161	148887.1298	212467.8382	245065.0377	214481.1238	184349.5333	219131.4017	245690.2778
