	Gene	X0h.a	X0h.b	X2h.a	X2h.b	X8h.a	X8h.b	X16h.a	X16h.b
8807	Gene8807	331175.6363	340426.0898	345390.9987	331028.1966	323070.0558	317504.0115	311414.3996	312278.0796
4363	Gene4363	374727.6193	343160.7888	239932.4348	379027.31	330694.3739	342110.2375	287194.8181	290360.6921
11644	Gene11644	321014.7259	329092.2735	356423.454	300882.9682	317736.2103	318018.3403	304686.3289	316330.8713
926	Gene926	257894.3707	237029.4843	309480.99	302874.9046	325507.6977	315889.8338	401294.5536	412053.35
10200	Gene10200	319355.8419	299995.5804	285729.4453	296459.264	341157.5706	347690.4654	349653.2263	316059.0187
11448	Gene11448	350531.8826	331057.2832	319555.2384	293783.3338	348120.4979	324323.7786	300829.669	264981.6214
2759	Gene2759	374145.9044	375618.5039	353598.0738	320940.667	288240.7125	322211.1748	247342.3277	250995.6055
10211	Gene10211	376425.6708	337342.037	136312.0762	364442.8757	312050.6669	321505.6781	320568.1668	363776.9244
12074	Gene12074	389191.7987	280733.315	422955.1701	307361.7547	342835.5792	342321.1239	211951.5507	225488.2132
12649	Gene12649	337407.9031	336034.2025	327143.7549	343075.9317	292508.0471	294647.4176	274746.3126	264930.3046
3619	Gene3619	402416.9683	284741.9668	186336.558	333641.3517	291349.9214	288348.3942	326014.081	350554.9839
11894	Gene11894	306578.8668	310586.0595	294485.145	291641.9535	294368.4408	299703.2348	323179.6531	325824.436
11878	Gene11878	317502.0423	279002.6003	325458.8175	274780.5531	316489.0133	322585.1756	288323.7074	318083.2749
2838	Gene2838	360858.4856	387125.6107	342649.6489	367952.9329	256849.5887	294655.6445	214727.6489	216785.9725
8718	Gene8718	369833.3064	291637.4145	346352.129	337478.3292	289048.8476	310876.5892	224757.0102	250350.1257
10592	Gene10592	307561.642	335287.1296	290281.6685	352510.8484	312678.7745	299739.8097	257437.4815	263539.6744
5067	Gene5067	358430.7046	328505.9295	288098.8251	300647.7064	286504.7348	294774.6074	256550.3237	304344.1477
12507	Gene12507	272046.0041	325971.0297	302849.9769	317904.9905	278797.4133	308991.7971	283514.6877	325012.4034
1995	Gene1995	239852.9164	235622.9178	296270.1463	272436.094	392479.125	365690.5283	298974.9981	311717.7464
12218	Gene12218	293183.2508	325073.0318	280477.6661	291650.449	269968.3514	290331.8465	312473.2699	347304.1041
9644	Gene9644	208631.2526	212386.3108	333668.5558	174230.0557	432820.2817	412267.3151	294064.5097	305557.7453
12509	Gene12509	317467.7179	324143.3377	286351.0985	317143.9954	298201.9131	293146.6212	268164.6827	267312.7381
1421	Gene1421	224080.7639	226132.8143	238913.2259	220199.7723	271650.2449	273508.6047	450097.9846	450177.8768
3160	Gene3160	388813.0893	409303.5213	304545.2389	313266.4211	263871.915	285891.2194	182412.2744	178736.6035
11625	Gene11625	298739.9428	306627.5705	305565.494	285546.039	278935.7711	290742.8165	270534.2077	281850.8238
11913	Gene11913	307869.3791	323593.2353	312286.3466	307344.8867	267114.76	280603.4307	260623.6509	256303.2899
4661	Gene4661	301821.8888	268020.3281	311300.153	291525.2254	286380.1564	289090.8106	268092.2799	293436.1678
7358	Gene7358	276980.3049	269039.1725	114888.6693	339322.7994	262508.5584	268625.2308	393032.0474	380180.7702
11023	Gene11023	359580.2896	356942.3698	249641.6689	326609.6746	239839.5475	258100.003	248091.3798	262005.3961
10786	Gene10786	270985.9785	267985.9287	315405.4823	302939.7732	294907.9896	301623.5156	258410.696	280074.5915
7411	Gene7411	327782.2297	332691.8725	278967.5004	352973.9156	240938.0199	253485.6797	248989.377	244243.9583
11995	Gene11995	299419.2083	286034.3742	366662.8058	244203.4433	273048.3324	272625.3034	251448.684	257546.85
12639	Gene12639	342491.7569	302126.1655	90588.64018	382787.0939	145408.9375	161458.857	405463.5119	407788.0161
3143	Gene3143	372073.1897	304340.9968	267908.1343	285271.3482	308087.0276	286548.2499	181642.5541	204145.9946
7405	Gene7405	237661.7289	238974.3227	255012.5574	240620.6772	295831.3129	281015.5425	331437.5699	329215.7336
12745	Gene12745	252697.7	254396.5091	196085.8103	374180.0354	356632.02	338862.6614	214330.9681	220392.8491
1668	Gene1668	235632.5539	232952.198	216365.1033	232430.6016	296955.0367	294901.6463	333272.6253	353944.3206
