	logFC	AveExpr	t	P.Value	adj.P.Val	B
Gene10895	-0.286261459778435	4.11844342337454	-1.76324594980427	0.113458704711436	0.999988671207323	-4.3947354111472
Gene10193	0.174639495802245	4.27674531618142	1.73689045768269	0.118192820800221	0.999988671207323	-4.39647213477225
Gene6114	0.253055898251268	4.77142334539286	1.69286098971215	0.12651117069655	0.999988671207323	-4.39666335678302
Gene5682	0.415974658346434	5.13334906043312	1.67198620472424	0.130640348169493	0.999988671207323	-4.39780484256687
Gene7328	0.206136465255856	4.39383661729864	1.71841086444712	0.121620639950831	0.999988671207323	-4.39840318978857
Gene3980	0.265391596513035	3.93894160840599	1.78156384795979	0.110272820153358	0.999988671207323	-4.39854386698872
Gene11926	0.355073066073254	5.93158584786089	1.64155624085692	0.136880906350968	0.999988671207323	-4.39955525041468
Gene5697	0.169828794134043	6.54336578240627	1.63613909145637	0.138019952702868	0.999988671207323	-4.4001500981596
Gene10509	0.316243619805592	4.84552263012886	1.67754424343364	0.129529021488926	0.999988671207323	-4.40054690539707
Gene5847	0.22244170526518	3.95115211302593	1.76807397757112	0.112610791286439	0.999988671207323	-4.40135715901918
Gene13613	0.333401299841035	4.90176928189661	1.66894779946543	0.131251561537071	0.999988671207323	-4.40253767394258
Gene10197	-0.215797146309403	5.12514865115219	-1.6573265496017	0.13361354265286	0.999988671207323	-4.40290290372193
Gene11447	0.553465110459092	9.08445760656063	1.64976921377052	0.13517032054484	0.999988671207323	-4.40430446241297
Gene9966	0.211561568264943	5.0274054430495	1.65600853560511	0.133883863504025	0.999988671207323	-4.40479606854699
Gene9235	-0.27624886368596	5.12938434130533	-1.64993183742139	0.135136647233328	0.999988671207323	-4.40561514233843
Gene13671	0.627617194502399	7.72834860812796	1.63713501196453	0.137809898533004	0.999988671207323	-4.40699236705656
Gene11264	-0.379390275215373	3.27395885199037	-2.03319370507698	0.0742131713835103	0.999988671207323	-4.40708804179471
Gene10678	0.513724571049989	5.81034321057335	1.62225696854815	0.140978368914811	0.999988671207323	-4.40829829839045
Gene8943	-0.31349417932113	3.41951907340591	-1.93694995983004	0.0864299071871689	0.999988671207323	-4.4084205063651
Gene12054	-0.206804354163869	5.9832345351334	-1.61481442354609	0.142588051250819	0.999988671207323	-4.40919977410557
Gene10337	-0.327560510783906	3.43941373049623	-1.92162844153356	0.0885440089590777	0.999988671207323	-4.40960649722731
Gene9518	0.355574471657057	4.40991032624445	1.68263646270621	0.128518449977364	0.999988671207323	-4.4100293538916
Gene11358	0.538509957410864	5.66044144400086	1.62133228989672	0.14117745847944	0.999988671207323	-4.41006530823577
