GENE	ANOVA P
Gene1029	0.00071347
Gene1030	0.001704876
Gene1031	3.817215319
Gene1032	0.007740648
Gene1033	0.00016184
Gene1034	0.000835359
Gene1035	0.000256499
Gene1036	0.00018155
Gene1037	8.423082044
Gene1038	0.000939998
Gene1039	1.066302384
Gene1040	0.002988124
Gene1041	0.011165801
Gene1042	0.008898745
Gene1043	1.763279685
Gene1044	0.000479241
Gene1045	0.001904623
Gene1046	0.002680758
Gene1047	0.009946537
Gene1048	0.021395406
Gene1049	0.002949517
Gene1050	0.002350448
Gene1051	0.002103289
Gene1052	0.002596899
Gene1053	0.003792598
Gene1054	0.003071465
Gene1055	0.004137076
Gene1056	0.001213115
Gene1057	0.011882308
Gene1058	0.007773618
Gene1059	0.000997558
Gene1060	0.000774833
Gene1061	0.001941495
Gene1062	0.001278771
Gene1063	0.003724613
Gene1064	0.000871962
Gene1065	0.011389079
Gene1066	0.000396917
Gene1067	0.001763512
Gene1068	0.002483872
Gene1069	0.002096905
Gene1070	0.000777837
Gene1071	0.001055493
Gene1072	0.000508054
Gene1073	0.003283618
Gene1074	0.00087161
Gene1075	0.000613036
Gene1076	0.014684658
Gene1077	0.003630679
Gene1078	0.00030877
Gene1079	0.003132928
Gene1080	0.000341468
Gene1081	0.00803722
Gene1082	0.003654436
Gene1083	0.020933683
Gene1084	0.00061741
Gene1085	0.000135836
Gene1086	0.000112341
Gene1087	0.01544244
Gene1088	0.001219031
Gene1089	2.92229731
Gene1090	0.001060308
Gene1091	0.001265501
Gene1092	4.416160561
Gene1093	0.00202374
Gene1094	0.000552656
Gene1095	2.256796549
Gene1096	0.001818287
Gene1097	0.002008349
Gene1098	0.000173354
Gene1099	0.014878547
Gene1100	0.001343577
Gene1101	0.00103513
Gene1102	5.446883999
Gene1103	2.144821899
Gene1104	0.001440086
Gene1105	5.329311288
Gene1106	0.000430565
Gene1107	0.005425901
Gene1108	0.017368327
Gene1109	0.002811627
Gene1110	0.001998749
Gene1111	0.003231258
Gene1112	0.001016932
Gene1113	0.001264162
Gene1114	0.000169592
Gene1115	4.857513193
Gene1116	0.01531951
Gene1117	0.000877066
Gene1118	0.004447068
Gene1119	0.007553396
Gene1120	0.0038481
Gene1121	0.001314708
Gene1122	0.000775594
Gene1123	0.000497393
Gene1124	0.000173048
Gene1125	0.002067471
Gene1126	0.000681269
Gene1127	0.002060551
Gene1128	2.686546849
Gene1129	0.018200259
Gene1130	5.576788964
Gene1131	0.00171971
Gene1132	0.000204507
Gene1133	0.000196422
Gene1134	0.006457755
Gene1135	0.002267983
Gene1136	0.002497293
Gene1137	0.012988174
Gene1138	0.008331548
Gene1139	0.00151175
Gene1140	0.018210738
Gene1141	0.018901173
Gene1142	0.007345989
Gene1143	0.001562045
Gene1144	0.018319526
Gene1145	0.002554701
Gene1146	0.00022817
Gene1147	0.004245842
Gene1148	0.002409045
Gene1149	0.001192765
Gene1150	0.001740279
Gene1151	0.000624704
Gene1152	0.003035727
Gene1153	0.020205295
Gene1154	0.006745661
Gene1155	0.006342741
Gene1156	0.002957193
Gene1157	0.006714272
Gene1158	0.000539992
Gene1159	0.019165851
Gene1160	0.00150507
Gene1161	0.001050561
Gene1162	0.000263696
Gene1163	0.000383853
Gene1164	0.000604734
Gene1165	0.000480947
Gene1166	0.020958833
Gene1167	0.007934415
Gene1168	0.006738405
Gene1169	0.011077747
Gene1170	0.005632142
Gene1171	0.009800013
Gene1172	0.010156901
Gene1173	0.006720166
Gene1174	0.014732584
Gene1175	0.001388863
Gene1176	0.00695174
Gene1177	0.00022478
Gene1178	0.001591861
Gene1179	0.01748916
Gene1180	0.008701773
Gene1181	0.001189583
Gene1182	0.002258293
Gene1183	0.000545567
Gene1184	0.006304888
Gene1185	0.010223423
Gene1186	0.000214661
Gene1187	4.791253807
Gene1188	9.923714133
Gene1189	1.039102826
Gene1190	0.006943485
Gene1191	1.592304744
Gene1192	0.000893556
Gene1193	0.000130596
Gene1194	0.002030521
Gene1195	0.020218899
Gene1196	0.005483543
Gene1197	2.83523244
Gene1198	0.000568576
Gene1199	0.019611977
Gene1200	0.001220141
Gene1201	0.006569503
Gene1202	0.001764884
Gene1203	0.000952324
Gene1204	0.000551115
Gene1205	0.002265864
Gene1206	0.000492305
Gene1207	0.007005848
Gene1208	0.001794257
Gene1209	9.534463917
Gene1210	0.006289808
Gene1211	0.015457945
Gene1212	0.000370136
Gene1213	0.000245652
Gene1214	0.004678775
Gene1215	0.000168079
Gene1216	6.915267288
Gene1217	9.484009985
Gene1218	0.000603726
Gene1219	3.628651459
Gene1220	1.958712719
Gene1221	9.25883634
Gene1222	5.744227873
Gene1223	0.00027678
Gene1224	0.000892459
Gene1225	0.001172471
Gene1226	0.000541971
Gene1227	2.866987147
Gene1228	0.000205545
Gene1229	1.491654225
Gene1230	0.007380347
Gene1231	0.012847003
Gene1232	0.001308651
Gene1233	0.015234711
Gene1234	0.000219317
Gene1235	0.002956646
Gene1236	0.003729445
Gene1237	0.00458657
Gene1238	0.012857759
Gene1239	0.01111355
Gene1240	0.009622054
Gene1241	0.000714417
Gene1242	0.000917382
Gene1243	0.00412891
Gene1244	0.024037422
Gene1245	0.000452409
